"","X.attribute.medIncome.numeric","X.attribute.PctUnemployed.numeric","X.attribute.PctFam2Par.numeric","X.attribute.PctLargHouseOccup.numeric","X.attribute.RentMedian.numeric","X.attribute.NumStreet.numeric","X.attribute.NumInShelters.numeric","X.attribute.PolicPerPop.numeric","X.attribute.agePct12t29.numeric","X.attribute.PopDens.numeric","X.attribute.NumKindsDrugsSeiz.numeric","X.attribute.ViolentCrimesPerPop.numeric"
"1637",0.13,0.55,0.41,0.19,0.07,0,0,"0.2",0.42,0.1,"0.64",0.9
"1639",0.37,0.2,0.47,0.06,0.3,0,0,"1",0.04,0.06,"0.64",0.17
"1641",0.28,0.72,0.21,0.38,0.45,0.03,0.12,"0.29",0.56,0.74,"0.93",0.79
"1644",0.48,0.37,0.72,0.15,0.55,0,0.02,"0.18",0.52,0.21,"0.36",0.03
"1646",0.23,0.39,0.41,0.13,0.38,0,0.05,"0.22",0.98,0.31,"0.64",0.07
"1685",0.13,1,0.11,0.51,0.11,0.01,0,"0.3",0.53,0.24,"0.29",1
"1686",0.35,0.22,0.65,0.39,0.33,0,0.01,"0.5",0.49,0.16,"0.36",0.09
"1687",0.24,0.4,0.49,0.2,0.2,0.07,0.06,"0.13",0.5,0.13,"0.64",0.65
"1696",0.39,0.29,0.7,0.18,0.32,0,0.03,"0.1",0.64,0.23,"0.64",0.32
"1699",0.26,0.42,0.28,0.21,0.36,1,0.14,"0.28",0.37,0.4,"0.14",0.59
"1703",0.56,0.2,0.77,0.17,0.42,0,0,"0.1",0.5,0.2,"0.36",0.09
"1711",0.11,0.77,0.64,1,0.15,0,0,"0.1",0.65,0.31,"0.14",0.28
"1712",0.28,0.33,0.5,0.17,0.36,0.07,0.34,"0.18",0.52,0.19,"0.57",0.28
"1717",0.41,0.2,0.76,0.24,0.44,0,0.17,"0.12",0.64,0.13,"0.57",0.12
"1722",0.18,0.41,0.31,0.2,0.26,0.32,0.25,"0.28",0.5,0.21,"0.93",1
"1725",0.47,0.22,0.55,0.35,0.77,0.06,0.13,"0.12",0.65,0.52,"0.57",0.19
"1728",0.2,0.32,0.4,0.19,0.18,0.02,0.02,"0.18",0.43,0.13,"0.64",0.42
"1740",0.41,0.22,0.69,0.19,0.36,0,0.01,"0.1",0.53,0.23,"0.71",0.13
"1742",0.47,0.06,0.66,0.15,0.61,0,0,"0.83",0.57,0.12,"0.43",0.06
"1743",0.37,0.44,0.67,0.31,0.61,0.04,0.05,"0.09",0.47,0.49,"0.71",0.15
"1750",0.17,0.45,0.31,0.2,0.21,0,0.02,"0.21",0.39,0.12,"0.71",0.67
"1752",0.26,0.36,0.5,0.18,0.3,0.09,0.06,"0.13",0.6,0.21,"0.57",0.35
"1760",0.34,0.63,0.23,0.4,0.47,0.3,0.11,"0.19",0.47,0.25,"0.5",1
"1768",0.3,0.33,0.36,0.13,0.33,0.62,0.29,"0.16",0.74,0.82,"0.64",0.67
"1774",0.22,0.54,0.37,0.34,0.37,0.03,0.01,"0.17",0.47,0.5,"0.36",0.75
"1778",0.2,0.37,0.39,0.27,0.29,0.07,0.15,"0.27",0.8,0.41,"0.43",0.47
"1790",0.39,0.39,0.49,0.44,0.55,0.03,0.13,"0.15",0.53,0.48,"0.93",0.53
"1796",0.53,0.13,0.72,0.15,0.51,0.03,0.01,"0.13",0.47,0.27,"0.43",0.09
"1802",0.2,0.34,0.24,0.17,0.19,0,0.07,"0.43",0.57,0.19,"0.5",0.72
"1811",0.27,0.59,0.14,0.48,0.54,0.04,0.06,"0.29",1,0.67,"0.71",0.62
"1818",0.15,0.38,0.19,0.14,0.22,0.02,0.05,"0.2",0.58,0.16,"0.5",0.5
"1836",0.25,0.76,0.24,0.76,0.39,0.22,0.15,"0.24",0.6,1,"0.71",0.65
"1839",0.23,0.45,0.51,0.21,0.2,0.54,0.59,"0.17",0.49,0.06,"0.86",0.57
"1840",0.41,0.31,0.54,0.13,0.47,0,0.12,"0.21",0.48,0.23,"0.57",0.16
"1844",0.24,0.46,0.57,0.21,0.21,0,0.01,"0.2",0.57,0.12,"0.43",0.44
"1845",0.78,0.2,0.92,0.23,0.68,0,0,"0.19",0.44,0.16,"0.64",0.06
"1848",0.17,1,0,0.64,0.32,1,1,"0.03",0.62,0.97,"0.29",1
"1852",0.52,0.13,0.56,0.03,0.41,0.02,0,"1",0.06,0.15,"0.29",0.22
"1860",0.25,0.49,0.37,0.27,0.23,0.01,0.01,"0.22",0.48,0.46,"0.43",0.34
"1866",0.24,0.25,0.29,0.19,0.37,0.54,0.4,"0.42",0.69,0.2,"0.93",0.95
"1873",0.22,0.3,0.32,0.24,0.27,0,0.1,"0.32",0.65,0.15,"0.5",0.53
"1879",0.17,1,0.14,0.5,0.42,0.06,0.03,"0.19",0.57,0.84,"0.29",0.88
"1881",0.4,0.42,0.6,0.22,0.49,0,0,"0.33",0.4,0.28,"0.57",0.22
"1892",0.33,0.3,0.6,0.19,0.38,0,0.03,"0.14",0.81,0.3,"0.79",0.23
"1908",0.14,0.54,0.21,0.19,0.15,0.08,0.47,"0.13",0.47,0.36,"0.86",0.41
"1911",0.34,0.6,0.57,1,0.49,0.01,0.12,"0.1",0.64,0.48,"0.86",0.67
"1923",0.36,0.26,0.52,0.36,0.67,0.11,0.18,"0.14",0.54,0.38,"0.57",0.32
"1941",0.2,0.47,0.41,0.09,0.17,0.03,0.09,"0.27",0.37,0.16,"0.29",0.56
"1950",0.24,0.38,0.44,0.22,0.23,0.03,0.06,"0.15",0.53,0.23,"0.71",0.23
"1955",0.36,0.34,0.55,0.39,0.53,1,1,"0.1",0.64,0.29,"0.93",0.48
"1958",0.25,0.31,0.42,0.19,0.24,0,0.08,"0.03",0.51,0.14,"0.29",1
"1964",0.26,0.44,0.2,0.23,0.41,0,0.02,"0.38",0.49,0.47,"0.36",0.45
"1966",0.29,0.33,0.46,0.21,0.27,0.31,0.33,"0.26",0.52,0.17,"0.93",0.69
"1970",0.36,0.38,0.49,0.33,0.6,1,1,"0.23",0.47,1,"0.93",0.75
"1982",0.5,0.2,0.78,0.14,0.58,0,0.02,"0.17",0.41,0.13,"0.43",0.07
"1992",0.31,0.5,0.42,0.22,0.34,0.02,0.06,"0.3",0.5,0.32,"0.36",0.23
"1993",0.44,0.37,0.64,0.21,0.62,0.01,0.04,"0.25",0.74,0.38,"0.57",0.19
"1994",0.4,0.47,0.61,0.83,0.53,0.08,0.08,"0.11",0.62,0.3,"0.36",0.48
